"Input"	"Output"	"Source_1"	"Context_1"	"Source_2"	"Context_2"	"Source_3"	"Context_3"	"Source_4"	"Context_4"	"Source_5"	"Context_5"
"歩車共存道路等において、自動車の走行速度を低減させるための構造として、車道に設ける狭窄部を規定している道路の級は？"	"第3種第5級の道路である [90]。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"5第3種第5級の普通道路の車道(自転車通行帯を除く。)の幅員は,**4 メートル**とするものとする。ただし,当該普通道路の計画交通景が極めて少なく,かつ,地形の状況その他の特別の理^に よりやむを得ない場合又は第31条の2の規定により車道に狭窄部を設ける場合においては,**3 メートル**とすることができる。 [10]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-9.pdf"	"区 分 車道の左側に設ける路肩の幅員 (単位メートル)... 第1種<br>第1級 及び<br>第 2 級 普通道 路 **2.5 1.75**... ただし,付加追越車線,登坂車線若しくは変速車線を設ける箇所,長さ50 メー トル以上の橋若しくは高架の道路又は地形の状況その他の特別の理由によりやむを得ない箇所については,同表の車道の左側に設ける路肩の幅員の欄の右欄に掲げる値まで縮小することができる。 [14]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装は、自動車の安全かつ円滑な交通を確保するため、雨水を道路の路面下に円滑に浸透させることができる構造とする必要がある場合においては、前項に定める構造とするほか、第六条に定める基準に適合する構造とするものとする。[30]"	"02_道路幅員（愛知_設計手引き）.pdf"	"植樹帯※6 | 1.5m を標準<br>として設置 ※7<br>必要がある場合 ※8 においては、1.5mを標準として設置... ※6 (植樹帯) 車道部左側についての規定であり、中央帯の規定ではない。 [13]"	"02_道路幅員（愛知_設計手引き）.pdf"	"表3.6 横断構成要素一覧表 | 第3種... 第2級... 車線 3. 25m<br>(3.5m*1)... *1(車線)第3種第2級または第4種第1級の道路は、交通の状況により必要がある場合は、車線をW=3.5mとすることができる。 [8], [9]"
"道路法第48条の17第1項の規定により指定され、設計車両としてセミトレーラ連結車が想定される道路は何か？"	"重要物流道路である [38, 85]。"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"道路線形の連続性を考慮することが必要となる。特に長距離トリッブの多い主要幹 線道路においては,運転者は疲労により線形の急変に対しての挙動が鈍ることを 考慮し,特に注意を払う必要がある。原則として,畏いiH線の終端に小さな曲線部を設けるようなことはすべきでな いし,大きな半径の曲線部から小さな曲線部へ急激に変化するような線形も設け るべきではない。この場合,道路構造令上許されるということだけでよいとする ことは厳に避ける必要がある。道路構造令は設計速度を維持して走行する車両に 対しての安全を保障するものであるが,前後の線形と運転者の人間としての一般 的性向からくる設計速度を超過する可能性に対しては,設計者の技術的な判断を 加えて予想される危険を避けるのが正しい運用であることを念頭に入れるべきで ある。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装は、自動車の安全かつ円滑な交通を確保するため、雨水を道路の路面下に円滑に浸透させることができる構造とする必要がある場合においては、前項に定める構造とするほか、第六条に定める基準に適合する構造とするものとする。[30]"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"区分は、平均施工幅員、1層当り平均仕上り厚、導水パイプの設置の有無、片側車線数、規格、瀝青材料の規格とする。[26]"	"国総研＿舗装設計ks0285004.pdf"	"路床の設計CBRが2以上3未満の場合は、**必要に応じ良質の材料で置き換えるか遮断層を設ける**、また、2未満の場合は、置き換えて舗装厚さを別途設定する。[56], [57]"	"アスファルト舗装材料の種別と特性"	"構造原理 : 母体となる多孔質のアスファルト混合物（空隙率21〜26%程度が適切とされる）の空隙に、特殊なセメントミルク（樹脂系添加剤入り浸透用グラウト）を浸透・硬化させた複合舗装（コンポジット舗装）である[31]。工学的特性 : 「アスファルトのたわみ性（柔軟性）」と「コンクリートの剛性（強さ）」をハイブリッドさせた性質を持つ[31]。**耐流動性** : コンクリート骨格が形成されるため、バス停や交差点のような静的重荷重下でも、わだち掘れがほぼ発生しない[31]。**耐油性** : アスファルトがセメントミルクで被覆・保護されるため、バスやトラックからの油漏れによるアスファルトの溶解・破損を防ぐ[31]。**明色性** : 路面がコンクリート色（白灰色）となるため、トンネル内での照明効果向上や、夏場の路面温度上昇抑制に寄与する[31]。"
"停車帯を設ける道路において、停車帯の右側に自転車通行帯を設ける場合、その場所はどこか？"	"車道の左端寄り（停車帯の右側）である [22]。"	"02_道路幅員（愛知_設計手引き）.pdf"	"植樹帯※6 | 1.5m を標準<br>として設置 ※7<br>必要がある場合 ※8 においては、1.5mを標準として設置... ※6 (植樹帯) 車道部左側についての規定であり、中央帯の規定ではない。 [13]"	"防護柵設置基準.pdf"	"歩行者自転車用防護柵は、原則として種別Pを適用するものとし、歩行者等
の滞留が予想される区間にある程度の高さを確保する転落防止を目的とした柵、
景観対策が可能な柵、景観阻害とならない柵など、あるいは、歩道等の狭隘な
幅員において、歩行者等の安全を確保すべきと認められる区間に設置する。
... 1) 歩行者等の**転落防止**を目的として路側又は歩道、自転車歩行者専用道路に設置する区間
2) 歩行者等の**横断防止**を目的として車道側に設置する区間"	"06_交通安全（愛知_設計手引き）.pdf"	"交差部で次のいずれかに該当する場所には、必要に応じて**道路反射鏡**を設置するものとする。
① 次の(a)または(b)に該当する信号制御されていない交差点
(b) 従道路において右方向を確認する際、見通すことができる距離が次式において求められた値以下の場合。"	"06_交通安全（愛知_設計手引き）.pdf"	"(a) 当該道路が1車線である道路において、視距が表 10.1に示す値以下の場所"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装は、自動車の安全かつ円滑な交通を確保するため、雨水を道路の路面下に円滑に浸透させることができる構造とする必要がある場合においては、前項に定める構造とするほか、第六条に定める基準に適合する構造とするものとする。[30]"
"積雪地域において、中央帯の幅員を拡幅すべき理由となるものは何か？"	"除雪のため必要な範囲内で拡幅すべきである [91]。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の 左欄に掲げる値以上とするものとする。ただし,長さ 100 メートル以上のトンネル,長さ50 メートル以上の橋若しくは高架の道路又は地形の状況 その他の特別の理由によりやむを得ない箇所については,同表の中央帯の 幅Wの欄の右欄に掲げる値まで縮小することができる。 区 分 中央帯の幅員(単位メートル)... 第 種<br>第 1 級 **4.5 2** [11]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"4中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の左欄に掲げる値以上とするものとする。ただし,**長さ100 メートル以上のトンネル,艮さ50 メートル以上の橋若しくは高架の道路**又は地形の状況その他の特別の理由によりやむを得ない筒所については,同表の中央帯の幅Wの欄の右欄に掲げる値まで縮小することができる。 [12]"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"	"福島県＿道路設計マニュアル506580.pdf"	"積雪寒冷地において、凍結融解による破壊やチェーン等による摩耗など、舗装としての耐久性の問題は特に確認されていないため適用は可能であり... しかし、**冬期の路面雪氷の融解が遅い傾向にある**といわれており、気象条件等の現場環境を考慮して適切な路線選定を行うとともに、冬期時の路面管理を十分に配慮する必要がある[57]。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"積雪寒冷の度がはなはだしい地域に存する道路にあっては,合成勾配は,8パーセント以下とするものとする。 [6]"
"立体横断施設のうち、通路の最小幅員は、何メートル以上か？"	"2.0m以上である [57]。"	"06_交通安全（愛知_設計手引き）.pdf"	"表3.1 横断歩道橋の幅員
階段: 1.5m以上
通路: **2.0m以上**
傾斜路: 2.0m以上
斜路階段: 2.1m以上"	"06_交通安全（愛知_設計手引き）.pdf"	"図 3-2 立体横断施設設置範囲 (学童の横断を目的とする場合)
横断者数（人/時）： P=ピーク1時間あたり
**P = 901〜**
1時間あたり往復合計交通量(台/時) 200 400 600 800 1,000 1,200 1,400 1,600 1,800
（図中のグラフより、**1,200台/時**の往復交通量に対して横断者が**900人/時**を超えると設置範囲となることが確認できる。）"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"4横断歩道橋等又は路上施設を段ける歩道の幅員については,前項に規定する幅員の値に横断歩道橋等を設ける場合にあっては3 メートル,ベンチの上屋を設ける場合にあっては2 メートル,**並木を設ける場合にあっては 1.5 メートル**,ベンチを設ける場合にあつては1メートル,その他の場合 にあつては0.5 メー トルを加えて同項の規定を適用するものとする。 [15]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"2 停車帯の幅員は,**2,5 メートル**とするものとする。ただし,自動車の交通量のうち大型の自動牢の交通量の占める割合が低いと認められる場合に おいては,1.5 メー トルまで縮小することができる。 [19]"
"既設道路を新幅員で施行することが実情に合わないと判断される場合に従来の規格で施工できるが、この特例が適用される残区間の延長の上限は？"	"概ね2km以下とする [5]。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"不陸整正...(2)路床面又は路盤面の3次元計測データ並びに3次元設計データ若しくは不陸整正の3次元計<br>測データがある場合における補修材の平均厚さの算出は、以下のとおりとする...数量算出に用いる3次元点群座標データは、**50cm間隔以下**の点密度とする。ただし、植生<br>等により測定した点が正しく地表を捉えられず、標準の点密度の取得が困難な場合には、この<br>限りでない。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-9.pdf"	"区 分 車道の左側に設ける路肩の幅員 (単位メートル)... 第1種<br>第1級 及び<br>第 2 級 普通道 路 **2.5 1.75**... ただし,付加追越車線,登坂車線若しくは変速車線を設ける箇所,長さ50 メー トル以上の橋若しくは高架の道路又は地形の状況その他の特別の理由によりやむを得ない箇所については,同表の車道の左側に設ける路肩の幅員の欄の右欄に掲げる値まで縮小することができる。 [14]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"4横断歩道橋等又は路上施設を段ける歩道の幅員については,前項に規定する幅員の値に横断歩道橋等を設ける場合にあっては3 メートル,ベンチの上屋を設ける場合にあっては2 メートル,**並木を設ける場合にあっては 1.5 メートル**,ベンチを設ける場合にあつては1メートル,その他の場合 にあつては0.5 メー トルを加えて同項の規定を適用するものとする。 [15]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の 左欄に掲げる値以上とするものとする。ただし,長さ 100 メートル以上のトンネル,長さ50 メートル以上の橋若しくは高架の道路又は地形の状況 その他の特別の理由によりやむを得ない箇所については,同表の中央帯の 幅Wの欄の右欄に掲げる値まで縮小することができる。 区 分 中央帯の幅員(単位メートル)... 第 種<br>第 1 級 **4.5 2** [11]"	"06_交通安全（愛知_設計手引き）.pdf"	"特に、下記項目については原則として設置するものとする。
(a) 長さ1.0km以上の直線区間
(b) **曲線半径500m以下の区間**
(c) 曲線半径1000m以下で縦断勾配3%以上の区間"
"第4種第1級の道路で中央帯を特例値まで縮小した場合、側帯の幅員は規定値0.25mから何mまで縮小できるか？"	"0.25mまで縮小できる（規定値と同じ） [29]。"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"第3種... 第2級 普通道 路 **3.25**... ただし,第1棟第1級若しくは第2級,第3種第2級又は第4種第1級の普通道路にあっては,交通の状況により必要がある場合においては,IN|欄に掲げる値に**0.25 メ ートルを加えた値**とすることができる。 [10], [7]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"4中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の左欄に掲げる値以上とするものとする。ただし,**長さ100 メートル以上のトンネル,艮さ50 メートル以上の橋若しくは高架の道路**又は地形の状況その他の特別の理由によりやむを得ない筒所については,同表の中央帯の幅Wの欄の右欄に掲げる値まで縮小することができる。 [12]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の 左欄に掲げる値以上とするものとする。ただし,長さ 100 メートル以上のトンネル,長さ50 メートル以上の橋若しくは高架の道路又は地形の状況 その他の特別の理由によりやむを得ない箇所については,同表の中央帯の 幅Wの欄の右欄に掲げる値まで縮小することができる。 区 分 中央帯の幅員(単位メートル)... 第 種<br>第 1 級 **4.5 2** [11]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"区 分 中央帯の幅員(単位メートル)... 第3種<br>第1級 **1,75 1**... 第3 種<br>第1級 0.25 [12]"
"植樹帯は、専ら良好な道路交通環境の整備又は沿道における良好な生活環境の確保を図ることを目的として、何により区画して設けられる帯状の道路の部分か？"	"縁石線又はさくその他これに類する工作物により区画して設けられる [15]。"	"02_道路幅員（愛知_設計手引き）.pdf"	"植樹帯※6 | 1.5m を標準<br>として設置 ※7<br>必要がある場合 ※8 においては、1.5mを標準として設置... ※6 (植樹帯) 車道部左側についての規定であり、中央帯の規定ではない。 [13]"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装は、自動車の安全かつ円滑な交通を確保するため、雨水を道路の路面下に円滑に浸透させることができる構造とする必要がある場合においては、前項に定める構造とするほか、第六条に定める基準に適合する構造とするものとする。[30]"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"道路線形は,地形および地域の土地利用との調和を考慮するとともに,**線形の連続性**および**平面・縦断両線形の調和**を図り,交通の 安全性,I1]滑性,経済性および施一£,維持宵理などを検討して決定 するものとする。"	"国土交通省＿舗装＿s-2904-3-01.pdf"	"区分は、施工箇所、舗装厚、規格、施工方法とする。"
"平面交差点の設計において、右折車線と対向直進車の見通し角を小さくするため、中央帯幅員の縮小が必要とされるが、この中央帯の幅員構成はどこを参照すべきか？"	"第2編 道路の標準幅員による [46]。"	"06_交通安全（愛知_設計手引き）.pdf"	"交差点形状や中央帯の幅員が狭い等の理由により中央分離帯先端壁が設置できない場合においても、中央帯並びに交差点の存在を明確に示す**視線誘導**を行い**中央帯への衝突事故を防止するための対策**（**デリニエーター**+**自発光鋲**）を講じなければならない。"	"06_交通安全（愛知_設計手引き）.pdf"	"交差点形状や中央帯の幅員が狭い等の理由により中央分離帯先端壁が設置できない場合においても、中央帯並びに交差点の存在を明確に示す視線誘導を行い中央帯への衝突事故を防止するための対策（**デリニエーター**+**自発光鋲**）を講じなければならない。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"4中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の左欄に掲げる値以上とするものとする。ただし,**長さ100 メートル以上のトンネル,艮さ50 メートル以上の橋若しくは高架の道路**又は地形の状況その他の特別の理由によりやむを得ない筒所については,同表の中央帯の幅Wの欄の右欄に掲げる値まで縮小することができる。 [12]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-7.pdf"	"中央帯の幅員は,巧該道路の区分に応じ,次の表の中央帯の幅員の欄の 左欄に掲げる値以上とするものとする。ただし,長さ 100 メートル以上のトンネル,長さ50 メートル以上の橋若しくは高架の道路又は地形の状況 その他の特別の理由によりやむを得ない箇所については,同表の中央帯の 幅Wの欄の右欄に掲げる値まで縮小することができる。 区 分 中央帯の幅員(単位メートル)... 第 種<br>第 1 級 **4.5 2** [11]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"2 停車帯の幅員は,**2,5 メートル**とするものとする。ただし,自動車の交通量のうち大型の自動牢の交通量の占める割合が低いと認められる場合に おいては,1.5 メー トルまで縮小することができる。 [19]"
"舗装の構造に関する技術基準において、舗装の構造が適合すべき基準を定めるのは誰か？"	"国土交通省令で定める基準に適合する構造とする [60]。"	"福島県＿道路設計マニュアル506580.pdf"	"舗装工の設計、施工に関する技術基準の体系は図1-2-1のとおりである。法令・通達報告書には道路法、道路構造令、国土交通省令（車道及び側帯の舗装の構造に関する省令）が含まれる。[2]"	"アスファルト舗装材料の種別と特性"	"日本の道路舗装技術は、法的には厳格な階層構造によって統制されている。最上位に「道路法」が位置し、その技術的要件を具体化する政令として「道路構造令」が存在する。[1]"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
i) **疲労破壊に対する耐久性〔疲労破壊輪数** )
ii) **わだち掘れに対する抵抗力(塑性変形輪数** )
in) **路面の平坦性**"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
iv) **雨水等の浸透能力(浸透水量** )"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装は、自動車の安全かつ円滑な交通を確保するため、雨水を道路の路面下に円滑に浸透させることができる構造とする必要がある場合においては、前項に定める構造とするほか、第六条に定める基準に適合する構造とするものとする。[30]"
"舗装構造が持つべき性能の一つとして、平坦性のほかに考慮すべき抵抗力は何か？"	"疲労破壊に対する耐久力や、わだち掘れに対する抵抗力がある [92]。"	"04_舗装（愛知_設計手引き）.pdf"	"排水性舗装は、標準的に耐流動性能を有しているが、ねじれ抵抗が必要な箇所(主に横断歩道を境とした交差点内)については、ポーラスアスコン (ねじれ抵抗性)を採用し、極端な曲線部につ
いては、別途検討する。(図3.12 を参照することとする。)"	"アスファルト舗装材料の種別と特性.docx"	"平たん性: 縦断方向の路面の凹凸の程度（**標準偏差σ等で評価**）[5]。高速走行時の安全性、快適性を担保すると同時に、**走行車両からの動的荷重（衝撃荷重）の増大を抑制**し、**舗装の劣化進行を遅らせる**ためにも重要となる[5]。"	"舗装の要求性能の整理と設計体系のあり方 基本方針まとめ.pdf"	"舗装構造が有すべき性能のうち,「舗装の構造に関する技術基準」(平成13年
6月29日都市・地域整備局長・道路局長通達)において必須の性能指標として
次のi)へ・iii)が,また南水を道路の路面ドに円滑に浸透させることができる構
造の場合はiv)を追加した性能指標が定められている。
i) **疲労破壊に対する耐久性〔疲労破壊輪数** )
ii) **わだち掘れに対する抵抗力(塑性変形輪数** )
in) **路面の平坦性**"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"車道及び側帯の舗装の必須の性能指標は、**疲労破壊輪数**、**塑性変形輪数**及び**平たん性**とする。[24]"	"福島県＿道路設計マニュアル506580.pdf"	"車道及び側帯の舗装の施工直後の平たん性は、2.4mm以下で設定するが、沿道の環境保全(振動・騒音)への要求などを考慮して適切な値を設定する。[41]"
"車道部の建築限界において、小型道路の高さHは、何メートルか？"	"3メートルである [41]。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-11.pdf"	"道路構造令第12条の建築限界が適用される。 [27]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"5第3種第5級の普通道路の車道(自転車通行帯を除く。)の幅員は,**4 メートル**とするものとする。ただし,当該普通道路の計画交通景が極めて少なく,かつ,地形の状況その他の特別の理^に よりやむを得ない場合又は第31条の2の規定により車道に狭窄部を設ける場合においては,**3 メートル**とすることができる。 [10]"	"06_交通安全（愛知_設計手引き）.pdf"	"ボラードの高さは、歩行者等の安全性の向上を図る施設であり、地域の関係機関と調整し、ガードレール以外にも歩行者等を保護する方策がないかについて、十分な検証が求められる。 ... ボラードの高さとしては、衝突エネルギーの限界値であり、**0.85 m以下**とすることが求められる。 ... H型ボラードは、車両の前面のバンパーの高さを越える高さを確保する必要があり、H型ボラードは**0.70 m以上**とすることが求められる。"	"02_道路幅員（愛知_設計手引き）.pdf"	"植樹帯※6 | 1.5m を標準<br>として設置 ※7<br>必要がある場合 ※8 においては、1.5mを標準として設置... ※6 (植樹帯) 車道部左側についての規定であり、中央帯の規定ではない。 [13]"	"02_道路幅員（愛知_設計手引き）.pdf"	"中央帯の中央帯の幅員は,道路構造令では、最低幅員として1.0mと規定されているが、本書では植栽等を考慮した施設帯幅員として1.0m を確保することを基本に、第4種の道路の中央帯幅員は2.0mを標準とする。 [13]"
"歩道等の建築限界高さ2.5mは、自転車の占有高2.25mに対し、どれくらいの余裕を加えて定められたか？"	"0.25mの余裕を加えて定められた [37]。"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-11.pdf"	"道路構造令第12条の建築限界が適用される。 [27]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-2.pdf"	"4横断歩道橋等又は路上施設を段ける歩道の幅員については,前項に規定する幅員の値に横断歩道橋等を設ける場合にあっては3 メートル,ベンチの上屋を設ける場合にあっては2 メートル,**並木を設ける場合にあっては 1.5 メートル**,ベンチを設ける場合にあつては1メートル,その他の場合 にあつては0.5 メー トルを加えて同項の規定を適用するものとする。 [15]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-10.pdf"	"道路構造令第11条第3項に規定する幅員は,歩行者の交通量が多い道路の3.5 mについては,車いす(占有幅1.0 m) 2台と歩行者C占有幅0.75 m) 2人のすれ違いが可能となるように,その他の道路の2 mについては車いすどうしのすれ違いが可能となるように定めたものである [16]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-10.pdf"	"道路構造令第10条第3項に規定する幅員は,自転車道の単位幅として自転車1台の占有幅1.0mを基準とし,自転車どうしのすれ違い,追越しを考えて**2,0 m**としたものである [18]"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-8.pdf"	"5第3種第5級の普通道路の車道(自転車通行帯を除く。)の幅員は,**4 メートル**とするものとする。ただし,当該普通道路の計画交通景が極めて少なく,かつ,地形の状況その他の特別の理^に よりやむを得ない場合又は第31条の2の規定により車道に狭窄部を設ける場合においては,**3 メートル**とすることができる。 [10]"
"道路の設計の基礎となる、道路の構造面から見た自動車の速度を何と定義するか？"	"自動車の走行に影響を及ぼす道路の物理的形状を設計し、これらを相互に関連づけるための基準となる速度として定義できる [1]。"	"車道及び側帯の舗装の構造の基準に関する省令.docx"	"舗装計画交通量　舗装の設計の基礎とするために、道路の計画交通量及び二以上の車線を有する道路にあっては各車線の**大型の自動車の交通の分布状況**を勘案して定める**大型の自動車の一車線あたりの日交通量**をいう。[33, 34]"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第 4 種
普通道路
60 5 7
50 6 8
40 **7** 9"	"アスファルト舗装材料の種別と特性"	"日本の舗装設計において、材料選定の決定的なパラメータとなるのが「交通量区分（N区分）」である。これは、設計期間内に通過する大型車の累積台数（または日平均台数）に基づき、N1からN7までの7段階に分類される[14]。"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
標準値 特例値
80 **280** 230
60 **150** 120
50 **100** 80
40 **60** 50
30 **30** 30
20 **15** 15"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
一時停止
制御交差点
の従道路
標準値 特例値
60 150 120 **60**
50 100 80 **40**
40 60 50 **30**
30 30 15 **15**
20 15 15 **15**"
"道路の幾何構造を検討し、決定するための基本となる速度の用語は何か？"	"設計速度である [1]。"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第 4 種
普通道路
60 5 7
50 6 8
40 **7** 9"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第1種,第2種 及び第3種
普通道路
120 2 5
100 **3** 6
80 4 7"	"道路構造令の解説と運用（令和3年）_R3年3月-13.pdf"	"道路線形は,地形および地域の土地利用との調和を考慮するとともに,**線形の連続性**および**平面・縦断両線形の調和**を図り,交通の 安全性,I1]滑性,経済性および施一£,維持宵理などを検討して決定 するものとする。"	"アスファルト舗装材料の種別と特性"	"日本の舗装設計において、材料選定の決定的なパラメータとなるのが「交通量区分（N区分）」である。これは、設計期間内に通過する大型車の累積台数（または日平均台数）に基づき、N1からN7までの7段階に分類される[14]。"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
標準値 特例値
80 **280** 230
60 **150** 120
50 **100** 80
40 **60** 50
30 **30** 30
20 **15** 15"
"第1種第1級普通道路の標準設計速度はいくらか？"	"120 km/h である [1-3]。"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第1種,第2種 及び第3種
普通道路
120 2 5
100 **3** 6
80 4 7"	"道路構造令の解説と運用（令和3年）_R3年3月-12.pdf"	"区 分 設計速度 (単位1時間につき キロメートル) 縦断S配 (単位パーセント)
第1種,第2種 及び第3種
普通道路
120 2 5
100 3 6
80 4 7"	"【日本道路協会】道路構造令の解説と運用（令和3年）_R3年3月-20.pdf"	"ランプの設計速度 (km/h)... 上級道路の区分 第1種・第2種道路... 120 100 80 60 50 40 ... 下 級 道 路 第 種 第 2 種 道 路 80 60 50 (40) ... 70 60 50 40 ... 60 50 40 35... 50 40 ... 40 35 30 25... 40 35 30... 40 35 ... 40 35 30 25... 40 35 30 25... 30 25... 30 25 ... 30 25 ... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25 ... 50 40 35 30... 50 40 35 30... 50 40 35 30... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 30 25... 30 25... 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 40 35 30 25... 30 25... 30 25... 30 25 ... この表において,上級道路とは,設計速度の高い側の道路,ある -567 — [22]"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
標準値 特例値
80 **280** 230
60 **150** 120
50 **100** 80
40 **60** 50
30 **30** 30
20 **15** 15"	"01_総則_愛知_設計手引き）.pdf"	"最小曲線半径(m)
設計速度
信号交差点および一時停
止制御交差点の主道路
一時停止
制御交差点
の従道路
標準値 特例値
60 150 120 **60**
50 100 80 **40**
40 60 50 **30**
30 30 15 **15**
20 15 15 **15**"
